city,latitude,longitude,address
Portland Oregon 97212,45.548382,-122.666344,15th - Fremont
Sacramento California 95814,38.56937,-121.490494,15th - H Street - Sacramento
Washington Washington DC 20005,38.906095,-77.034554,15th - I Streets
Washington Washington DC 20005,38.906095,-77.034554,15th - K
Philadelphia Pennsylvania 19102,39.95269,-75.165268,15th - Latimer
Santa Monica California 90403,34.02225,-118.507509,15th - Montana
New York New York 10001,40.739928,-74.00631,15th - Ninth
Austin Texas 78701,30.26716,-97.742561,15th - San Antonio
New York New York 10003,40.735,-73.989094,15th - Third
Seattle Washington 98112,47.633085,-122.312509,15th Avenue East
Melbourne VIC Melbourne 3000,-37.814865,144.960785,160 Queen St
Sacramento California 95841,38.66265,-121.344554,1601 P Street - Sacramento
San Antonio Texas 78248,29.460737,-98.507756,1604 - Blanco Road
Seattle Washington 98119,47.648345,-122.377656,1609 West Dravus
Fort Lauderdale Florida 33305,26.14898,-80.120063,1615 N. Federal Hwy
Bremerton Washington 98310,47.62645,-122.627648,1616 Bentley Dr
Santa Rosa California 95401,38.437731,-122.712427,1620 Mendocino Ave. - Santa Rosa
Vancouver Washington 98684,45.63553,-122.561069,162nd - 18th
Lynnwood Washington 98037,47.85039,-122.286669,164th Street Crossing
New York New York 10006,41.772266,-74.651878,165 Broadway - 1 Liberty
Boston Massachusetts 02116,42.350782,-71.078568,165 Newbury
New York New York 10019,40.762203,-73.983346,1656 Broadway
Manhattan New York 10019,40.763028,-73.98323,1675 Broadway
Charleston South Carolina 29401,32.785251,-79.938156,168 Calhoun Street
Calgary Alberta T2M 0K8,51.071315,-114.091039,16th - 11th
Miami Beach Florida 33139,25.782818,-80.140369,16th - Alton
Philadelphia Pennsylvania 19103,39.95481,-75.166359,16th - Arch
Phoenix Arizona 85016,33.507786,-112.02744,16th - Camelback
Washington Washington DC 20036,38.910015,-77.036524,16th - K
Vancouver British Columbia V6K 4W7,49.257945,-123.176749,16th - MacDonald St
Denver Colorado 80202,39.747692,-104.983711,16th - Tremont
Washington Washington DC 20009,38.91927,-77.036489,16th - U Street
Philadelphia Pennsylvania 19102,39.95269,-75.165268,16th - Walnut
Denver Colorado 80202,39.747525,-104.995244,16th St. - Blake
Phoenix Arizona 850162514,33.448261,-112.076408,16th Street - Bethany Home  Phoenix
Denver Colorado 80202,39.747525,-104.995244,16th Street - Curtis
Yuma Arizona 85365,32.69869,-114.599829,16th Street - I-8  Yuma
Ellensburg Washington 98926,46.977424,-120.542974,1700 Canyon Rd
Dallas Texas 75201,32.782498,-96.797438,1700 Pacific Ave.
Washington Washington DC 20006,38.898732,-77.039559,1700 Pennsylvania Ave. Kiosk
Seattle Washington 98101,47.613708,-122.335181,1700 Seventh Ave
Chicago Illinois 60614,41.932454,-87.67097,1700 W. Diversey
Tallahassee Florida 32304,30.448848,-84.308915,1703 W Tennessee
Washington Washington DC 20006,38.898863,-77.04013,1730 Pennsylvania Avenue
Washington Washington DC 200365386,47.131516,-122.482452,1734 L Street
Omaha Nebraska 68130,41.229538,-96.184593,173rd - Center
Winnipeg Manitoba R3T 2G2,49.826585,-97.152034,1740 Pembina Hwy
Toronto Ontario M5M 3Y6,43.670428,-79.394921,1740-42 Avenue Rd.
Clovis California 93612,36.828266,-119.700474,175 West Shaw - Clovis
San Francisco California 94115,37.785749,-122.439787,1750 Divisadero Street
Puyallup Washington 98375,47.088947,-122.293694,176 - Meridian
South San Francisco California 94080,37.652841,-122.401986,176 Gateway Blvd.
San Mateo California 94402,37.55338,-122.312369,17th - El Camino - San Mateo
New York New York 10003,40.731392,-73.988403,17th - First (Stuyvesant Town)
Santa Ana California 92701,33.760005,-117.854059,17th - Grand  Santa Ana
Hutchinson Kansas 67501,38.051701,-97.904037,17th - Lorraine
Costa Mesa California 92627,33.633165,-117.913924,17th - Newport Blvd. - Costa Mesa
Longmont Colorado 80501,40.168911,-105.09314,17th - Pace-Longmont
Boise Idaho 83702,43.664471,-116.164627,17th - State Boise
Denver Colorado 80202,39.741329,-104.999207,17th - Stout
Santa Ana California 927058609,33.759911,-117.818649,17th - Tustin  Santa Ana
Calgary Alberta T2S 0B6,51.03783,-114.074964,17th Avenue
Manhattan New York 10003,40.73452,-73.984169,17th and Broadway (41 Union Square
San Francisco California 94122,37.763607,-122.477285,1800 Irving Street
Pompano Beach Florida 33062,26.254714,-80.100124,1800 N. Federal Hwy
Aventura Florida 33180,25.945129,-80.147417,18299 Biscayne Blvd
Toronto Ontario M5A 1J4,43.650583,-79.370819,185 King St.George
Vancouver British Columbia V6J 3G9,49.269272,-123.145773,1855 Burrard Street
Century City California 90067,34.061827,-118.415063,1875 Century Park E.
Denver Colorado 80202,39.751405,-104.995444,18th - California
Denver Colorado 80202,39.742104,-104.999588,18th - Champa
Denver Colorado 80218,39.744835,-104.972769,18th - Franklin - Denver  CO
